HockeyTeam SportsTeam
AmericanFootballTeam SportsTeam
BaseballTeam SportsTeam
CanadianFootballTeam SportsTeam
BiologicalDatabase Database
RaceTrack SportFacility
CricketGround SportFacility
GolfCourse SportFacility
SkiArea SportFacility
Canal Stream
River Stream
Genre TopicalConcept
Type TopicalConcept
Fashion TopicalConcept
AcademicSubject TopicalConcept
CardinalDirection TopicalConcept
Ideology TopicalConcept
MathematicalConcept TopicalConcept
PhilosophicalConcept TopicalConcept
PoliticalConcept TopicalConcept
ScientificConcept TopicalConcept
Standard TopicalConcept
SystemOfLaw TopicalConcept
Tax TopicalConcept
Taxon TopicalConcept
TheologicalConcept TopicalConcept
Department GovernmentalAdministrativeRegion
Municipality GovernmentalAdministrativeRegion
Arrondissement GovernmentalAdministrativeRegion
Canton GovernmentalAdministrativeRegion
District GovernmentalAdministrativeRegion
DistrictWaterBoard GovernmentalAdministrativeRegion
MicroRegion GovernmentalAdministrativeRegion
Prefecture GovernmentalAdministrativeRegion
Province GovernmentalAdministrativeRegion
Regency GovernmentalAdministrativeRegion
SubMunicipality GovernmentalAdministrativeRegion
FormerMunicipality Municipality
Racecourse RaceTrack
Lighthouse Tower
WaterTower Tower
SnookerWorldRanking SportCompetitionResult
OlympicResult SportCompetitionResult
Artery AnatomicalStructure
Bone AnatomicalStructure
Brain AnatomicalStructure
Muscle AnatomicalStructure
Nerve AnatomicalStructure
Vein AnatomicalStructure
Ligament AnatomicalStructure
Lymph AnatomicalStructure
Embryology AnatomicalStructure
BloodVessel AnatomicalStructure
Person Animal
Amphibian Animal
Arachnid Animal
Crustacean Animal
Fish Animal
Mammal Animal
Mollusca Animal
Insect Animal
Reptile Animal
Bird Animal
GridironFootballPlayer Athlete
MotorsportRacer Athlete
AustralianRulesFootballPlayer Athlete
BadmintonPlayer Athlete
BaseballPlayer Athlete
BasketballPlayer Athlete
Bodybuilder Athlete
Boxer Athlete
Canoeist Athlete
ChessPlayer Athlete
Cricketer Athlete
Cyclist Athlete
DartsPlayer Athlete
GaelicGamesPlayer Athlete
GolfPlayer Athlete
Gymnast Athlete
HandballPlayer Athlete
Jockey Athlete
LacrossePlayer Athlete
NetballPlayer Athlete
PokerPlayer Athlete
Sailor Athlete
SnookerPlayer Athlete
SoccerPlayer Athlete
SquashPlayer Athlete
Swimmer Athlete
TableTennisPlayer Athlete
TennisPlayer Athlete
VolleyballPlayer Athlete
MartialArtist Athlete
Wrestler Athlete
NationalCollegiateAthleticAssociationAthlete Athlete
Rower Athlete
HorseRider Athlete
WinterSportPlayer Athlete
RugbyPlayer Athlete
ArcherPlayer Athlete
AthleticsPlayer Athlete
BullFighter Athlete
Fencer Athlete
HighDiver Athlete
Surfer Athlete
TeamMember Athlete
WaterPoloPlayer Athlete
AmateurBoxer Boxer
MilitaryService CareerStation
Archbishop ChristianBishop
Cardinal Cleric
ChristianBishop Cleric
Priest Cleric
ChristianPatriarch Cleric
Saint Cleric
Pope Cleric
Vicar Cleric
LunarCrater Crater
School EducationalInstitution
College EducationalInstitution
Library EducationalInstitution
University EducationalInstitution
Animal Eukaryote
Fungus Eukaryote
Plant Eukaryote
Atoll Island
Horse Mammal
Cat Mammal
Dog Mammal
SpeedwayRider MotorcycleRider
MotocycleRacer MotorcycleRider
Region PopulatedPlace
Island PopulatedPlace
Continent PopulatedPlace
Settlement PopulatedPlace
Country PopulatedPlace
Agglomeration PopulatedPlace
Community PopulatedPlace
GatedCommunity PopulatedPlace
Intercommunality PopulatedPlace
Locality PopulatedPlace
State PopulatedPlace
Street PopulatedPlace
Territory PopulatedPlace
BusCompany PublicTransitSystem
Airline PublicTransitSystem
Entomologist Scientist
Medician Scientist
Biologist Scientist
Professor Scientist
SkiResort SkiArea
SnookerChamp SnookerPlayer
Archaea Species
Bacteria Species
Eukaryote Species
Athletics Sport
TeamSport Sport
BeachVolleyballPlayer VolleyballPlayer
Album MusicalWork
ArtistDiscography MusicalWork
ClassicalMusicComposition MusicalWork
Musical MusicalWork
Single MusicalWork
Song MusicalWork
NationalAnthem MusicalWork
Opera MusicalWork
SumoWrestler Wrestler
Infrastructure ArchitecturalStructure
SportFacility ArchitecturalStructure
Tower ArchitecturalStructure
Tunnel ArchitecturalStructure
AmusementParkAttraction ArchitecturalStructure
Building ArchitecturalStructure
MilitaryStructure ArchitecturalStructure
Monument ArchitecturalStructure
Arena ArchitecturalStructure
Infrastucture ArchitecturalStructure
Mill ArchitecturalStructure
Pyramid ArchitecturalStructure
Square ArchitecturalStructure
Zoo ArchitecturalStructure
TelevisionHost Presenter
RadioHost Presenter
CareerStation TimePeriod
Tenure TimePeriod
Year TimePeriod
YearInSpaceflight TimePeriod
GeologicalPeriod TimePeriod
HistoricalPeriod TimePeriod
PeriodOfArtisticStyle TimePeriod
PrehistoricalPeriod TimePeriod
ProtohistoricalPeriod TimePeriod
Reign TimePeriod
CollegeCoach Coach
AmericanFootballCoach Coach
VolleyballCoach Coach
SoccerManager SportsManager
Curler WinterSportPlayer
FigureSkater WinterSportPlayer
IceHockeyPlayer WinterSportPlayer
Skater WinterSportPlayer
Skier WinterSportPlayer
Biathlete WinterSportPlayer
BobsleighAthlete WinterSportPlayer
CrossCountrySkier WinterSportPlayer
NordicCombined WinterSportPlayer
Ski_jumper WinterSportPlayer
SpeedSkater WinterSportPlayer
ClericalAdministrativeRegion AdministrativeRegion
GovernmentalAdministrativeRegion AdministrativeRegion
HistoricalAreaOfAuthority AdministrativeRegion
MilitaryAircraft Aircraft
WaterRide AmusementParkAttraction
RollerCoaster AmusementParkAttraction
Actor Artist
Comedian Artist
ComicsCreator Artist
Dancer Artist
FashionDesigner Artist
Painter Artist
Photographer Artist
MusicalArtist Artist
Humorist Artist
Sculptor Artist
Painting Artwork
Sculpture Artwork
Decoration Award
NobelPrize Award
Beer Beverage
Vodka Beverage
Wine Beverage
Stream BodyOfWater
Sea BodyOfWater
Bay BodyOfWater
Lake BodyOfWater
Ocean BodyOfWater
Castle Building
Prison Building
Skyscraper Building
HistoricBuilding Building
Hotel Building
Museum Building
Restaurant Building
ShoppingMall Building
Venue Building
ReligiousBuilding Building
Casino Building
Factory Building
Capital City
CapitalOfRegion City
ComicStrip Comic
Manga Comic
Manhua Comic
Manhwa Comic
AnimangaCharacter ComicsCharacter
Murderer Criminal
Battery Device
Engine Device
InformationAppliance Device
Weapon Device
Camera Device
Instrument Device
MobilePhone Device
Robot Device
CombinationDrug Drug
MonoclonalAntibody Drug
Vaccine Drug
VaccinationStatistics Drug
AutomobileEngine Engine
RocketEngine Engine
NaturalEvent Event
SocietalEvent Event
Outbreak Event
Competition Event
LifeCycleEvent Event
PenaltyShootOut Event
Cheese Food
Beverage Food
NationalFootballLeagueSeason FootballLeagueSeason
BoardGame Game
CardGame Game
GovernmentCabinet GovernmentAgency
Fort MilitaryStructure
GraveMonument Monument
Memorial Monument
ClassicalMusicArtist MusicalArtist
Instrumentalist MusicalArtist
BackScene MusicalArtist
MusicDirector MusicalArtist
Singer MusicalArtist
OlympicEvent Olympics
Company Organisation
Non-ProfitOrganisation Organisation
Broadcaster Organisation
Group Organisation
SportsClub Organisation
SportsTeam Organisation
EducationalInstitution Organisation
GovernmentAgency Organisation
Legislature Organisation
MilitaryUnit Organisation
PoliticalParty Organisation
SportsLeague Organisation
TradeUnion Organisation
EmployersOrganisation Organisation
GeopoliticalOrganisation Organisation
InternationalOrganisation Organisation
Parliament Organisation
