Q9430	Ocean
Q12516	Pyramid
Q32815	Mosque
Q19546	Pope
Q40231	Election
Q43229	Organisation
Q44782	Port
Q41291	Rocket
Q34627	Synagogue
Q82799	Name
Q133056	MountainPass
Q130003	SkiResort
Q141683	BroadcastNetwork
Q163740	Non-ProfitOrganisation
Q176799	MilitaryUnit
Q386724	Work
Q482994	Album
Q476300	Contest
Q613142	LawFirm
Q697295	Shrine
Q754669	Manhua
Q1067263	InformationAppliance
Q1311958	RailwayTunnel
Q1348589	LunarCrater
Q1930187	Journalist
Q2526255	MovieDirector
Q3153117	Intercommunality
Q4498974	HockeyTeam
Q4936952	AnatomicalStructure
